,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,cabrero,-37.03,-72.4,66.2,45,0,13.87,CL,1602518584
287,olafsvik,64.89,-23.71,45.09,80,98,9.86,IS,1602518433
288,sulangan,11.14,123.72,83.71,75,100,6.04,PH,1602518584
289,parana,-31.73,-60.52,77.0,34,0,8.01,AR,1602518584
290,linkou,45.3,130.28,33.94,82,0,4.36,CN,1602518584
291,port blair,11.67,92.75,80.38,84,100,13.82,IN,1602518585
292,iwanai,42.97,140.51,58.14,88,92,7.43,JP,1602518585
293,kathor,21.3,72.93,82.4,69,0,5.82,IN,1602518585
294,henties bay,-22.12,14.28,57.0,85,1,3.0,NA,1602518585
295,davila,18.47,120.58,77.0,100,75,1.12,PH,1602518585
296,beyneu,45.32,55.2,56.57,31,0,11.12,KZ,1602518585
297,arman,59.7,150.17,40.62,75,100,10.02,RU,1602518585
298,vaitape,-16.52,-151.75,78.98,79,8,15.08,PF,1602518585
299,whitehorse,60.72,-135.05,32.0,94,75,9.17,CA,1602518585
300,carlos antonio lopez,-26.4,-54.77,95.67,18,0,3.38,PY,1602518585
301,sabha,27.04,14.43,91.4,15,0,6.51,LY,1602518586
302,marrakesh,31.63,-8.01,93.2,16,0,6.93,MA,1602518381
303,alto araguaia,-17.31,-53.22,94.78,26,79,8.95,BR,1602518586
304,san policarpo,12.18,125.51,81.72,82,100,4.79,PH,1602518586
305,sobolevo,54.43,31.9,51.39,89,49,3.0,RU,1602518586
306,ustye,59.63,39.74,48.47,87,100,5.44,RU,1602518586
307,kavadarci,41.43,22.01,71.6,60,75,12.75,MK,1602518347
308,gat,31.61,34.76,79.0,57,1,9.17,IL,1602518586
309,guaratuba,-25.88,-48.57,80.01,60,0,5.01,BR,1602518321
310,elk grove,38.41,-121.37,57.2,76,1,3.76,US,1602518402
311,hvide sande,56.0,8.13,54.0,80,99,13.2,DK,1602518587
312,saint-augustin,51.23,-58.65,44.51,59,37,15.77,CA,1602518412
313,tuchola,53.59,17.86,51.01,84,100,1.99,PL,1602518367
314,hami,42.8,93.45,47.89,48,75,8.16,CN,1602518431
315,leirvik,59.78,5.5,50.0,70,20,5.82,NO,1602518587
316,baiyin,36.56,104.21,48.2,36,40,8.95,CN,1602518587
317,kruisfontein,-34.0,24.73,62.85,67,17,2.75,ZA,1602518373
318,saint anthony,45.02,-93.22,55.0,81,1,11.41,US,1602518214
319,leshukonskoye,64.9,45.76,44.42,95,100,4.97,RU,1602518366
320,coffs harbour,-30.3,153.13,60.8,93,90,2.37,AU,1602518587
321,sitka,57.05,-135.33,44.6,93,90,4.7,US,1602518365
322,ambon,-3.7,128.18,77.0,94,40,9.17,ID,1602518587
323,tateyama,34.98,139.87,71.01,80,49,4.12,JP,1602518441
324,ambilobe,-13.2,49.05,79.61,68,41,8.34,MG,1602518436
325,aripuana,-9.17,-60.63,100.24,31,0,3.29,BR,1602518436
326,luderitz,-26.65,15.16,70.38,41,0,16.06,NA,1602518372
327,balotra,25.83,72.23,91.67,14,0,8.77,IN,1602518587
328,las choapas,17.93,-94.08,86.0,79,75,2.1,MX,1602518588
329,sibolga,1.74,98.78,77.85,77,100,5.28,ID,1602518394
330,vardo,70.37,31.11,42.8,87,75,13.87,NO,1602518414
331,pisco,-13.7,-76.22,66.99,82,90,3.36,PE,1602518378
332,kingaroy,-26.53,151.83,60.8,77,90,4.7,AU,1602518588
333,tayoltita,24.08,-105.93,82.94,32,66,3.6,MX,1602518588
334,revelstoke,50.98,-118.2,41.0,100,90,2.24,CA,1602518451
335,mackay,-21.15,149.2,73.4,69,40,13.87,AU,1602518390
336,le port,-20.94,55.29,75.2,69,19,10.29,RE,1602518588
337,kargasok,59.06,80.86,38.34,98,100,5.35,RU,1602518588
338,partenit,44.58,34.34,65.52,76,30,5.82,UA,1602518588
339,merauke,-8.47,140.33,79.03,80,100,14.43,ID,1602518588
340,polson,47.69,-114.16,51.01,78,60,4.0,US,1602518445
341,arroyo,41.61,-4.8,64.99,36,0,5.82,ES,1602518589
342,dehloran,32.69,47.27,79.9,15,0,5.59,IR,1602518589
343,xichang,27.9,102.26,64.26,71,99,1.07,CN,1602518589
344,karratha,-20.74,116.85,76.15,52,0,11.01,AU,1602518376
345,khuzdar,27.74,66.64,62.02,23,0,9.82,PK,1602518589
346,meulaboh,4.14,96.13,76.75,85,99,4.56,ID,1602518434
347,dauriya,49.93,116.87,26.22,84,100,12.21,RU,1602518589
348,koungheul,13.98,-14.8,94.89,40,96,5.73,SN,1602518589
349,machali,-34.18,-70.67,79.45,23,0,5.99,CL,1602518446
350,nuuk,64.18,-51.72,33.8,100,75,5.82,GL,1602518369
351,abu dhabi,24.47,54.37,87.8,62,0,12.75,AE,1602518176
352,bassano,50.78,-112.47,35.01,92,90,7.0,CA,1602518589
353,borogontsy,62.67,131.17,30.56,99,100,9.98,RU,1602518589
354,irbil,36.19,44.01,82.4,11,0,4.7,IQ,1602518357
355,vila velha,-20.33,-40.29,75.0,83,90,9.17,BR,1602518384
356,talnakh,69.49,88.4,26.6,92,40,22.37,RU,1602518399
357,wajima,37.4,136.9,67.57,77,62,9.44,JP,1602518388
358,kichera,55.94,110.1,24.6,86,42,5.08,RU,1602518447
359,hambantota,6.12,81.12,78.8,94,20,11.41,LK,1602518389
360,kaeo,-35.1,173.78,62.01,95,93,11.99,NZ,1602518445
361,souillac,-20.52,57.52,71.6,94,75,5.82,MU,1602518371
362,gamba,-2.65,10.0,77.59,82,54,10.83,GA,1602518590
363,oussouye,12.48,-16.55,78.8,94,40,2.24,SN,1602518590
364,portobelo,9.55,-79.65,84.0,79,99,5.01,PA,1602518590
365,huangzhai,38.08,112.66,50.0,61,78,4.47,CN,1602518590
366,hobbs,32.7,-103.14,63.0,23,5,10.29,US,1602518590
367,puerto del rosario,28.5,-13.86,77.0,83,0,11.41,ES,1602518591
368,balykshi,47.07,51.87,60.8,19,0,11.18,KZ,1602518591
369,sugod,12.99,124.08,81.75,82,100,7.25,PH,1602518591
370,jiujiang,29.73,115.98,67.95,64,0,10.69,CN,1602518591
371,hella,67.2,14.43,46.4,87,40,3.36,NO,1602518591
372,pemangkat,1.17,108.97,77.14,86,100,2.39,ID,1602518591
373,beloha,-25.17,45.05,66.52,78,51,10.89,MG,1602518395
374,lorengau,-2.02,147.27,81.79,79,85,6.11,PG,1602518591
375,mantua,45.17,10.78,59.0,72,40,11.41,IT,1602518591
376,mehran,33.12,46.16,73.4,13,0,6.93,IR,1602518591
377,sao jose da coroa grande,-8.9,-35.15,81.99,64,8,10.8,BR,1602518388
378,banjar,-8.19,114.97,78.8,100,75,9.17,ID,1602518591
379,bandraboua,-12.7,45.12,82.4,74,20,4.7,YT,1602518591
380,yurla,59.33,54.32,43.38,72,100,6.58,RU,1602518592
381,marondera,-18.19,31.55,58.26,92,100,7.63,ZW,1602518592
382,tyulyachi,55.89,50.24,51.8,34,62,11.18,RU,1602518592
383,vegachi,6.76,-74.79,80.89,59,69,4.65,CO,1602518592
384,ipixuna,-1.76,-48.8,86.0,66,75,4.7,BR,1602518592
385,auki,-8.77,160.7,78.67,85,99,4.83,SB,1602518592
386,luanda,-8.84,13.23,78.8,74,20,13.87,AO,1602518258
387,necochea,-38.55,-58.74,53.01,92,0,10.0,AR,1602518592
388,matay,28.42,30.78,81.19,28,47,9.53,EG,1602518411
389,kendari,-3.94,122.5,75.85,88,57,1.7,ID,1602518412
390,martorell,41.47,1.93,72.0,24,0,8.05,ES,1602518592
391,pajapan,18.25,-94.7,86.0,79,75,5.41,MX,1602518593
392,lebu,-37.62,-73.65,54.84,68,0,20.36,CL,1602518372
393,vilyuysk,63.76,121.62,18.86,90,0,6.64,RU,1602518593
394,qitaihe,45.8,130.85,35.6,77,0,5.59,CN,1602518593
395,irbeyskoye,55.64,95.45,29.28,92,99,3.91,RU,1602518593
396,atar,20.52,-13.05,100.4,39,40,9.17,MR,1602518394
397,manati,18.43,-66.49,88.0,73,59,4.0,PR,1602518593
398,tabuk,17.42,121.44,74.1,87,100,2.26,PH,1602518593
399,zasheyek,67.41,32.55,43.02,94,100,1.48,RU,1602518593
400,promissao,-21.54,-49.86,95.86,23,0,7.05,BR,1602518502
401,gambela,8.25,34.58,75.34,78,60,1.36,ET,1602518593
402,boralday,43.36,76.86,44.6,48,75,4.47,KZ,1602518594
403,agadir,30.42,-9.6,87.8,27,0,20.8,MA,1602518412
404,ekibastuz,51.67,75.37,50.04,73,96,12.64,KZ,1602518594
405,la asuncion,11.03,-63.86,96.8,50,78,13.87,VE,1602518594
406,nambucca heads,-30.65,153.0,62.01,93,90,4.03,AU,1602518594
407,abalak,58.13,68.59,47.32,92,87,4.92,RU,1602518594
408,dryden,49.78,-92.75,46.4,93,90,10.29,CA,1602518388
409,klyuchi,52.27,79.17,48.65,79,100,11.5,RU,1602518415
410,constitucion,-35.33,-72.42,65.19,46,0,12.55,CL,1602518432
411,hobyo,5.35,48.53,80.28,79,6,12.77,SO,1602518437
412,dhule,20.9,74.78,82.96,43,6,6.85,IN,1602518594
413,kaitangata,-46.28,169.85,46.99,83,84,3.0,NZ,1602518398
414,nyurba,63.28,118.33,18.84,89,0,4.16,RU,1602518594
415,quirinopolis,-18.45,-50.45,96.48,28,87,5.53,BR,1602518595
416,chuy,-33.7,-53.46,60.93,71,96,10.67,UY,1602518386
417,olinda,-8.01,-34.86,86.0,58,20,6.93,BR,1602518430
418,maniitsoq,65.42,-52.9,41.07,87,100,9.53,GL,1602518595
419,narsaq,60.92,-46.05,53.6,40,75,9.17,GL,1602518380
420,alice town,25.72,-79.3,83.41,73,17,4.41,BS,1602518595
421,egvekinot,66.32,-179.17,22.78,96,73,10.92,RU,1602518399
422,saint-pierre,-21.34,55.48,75.2,78,40,10.29,RE,1602518403
423,paamiut,61.99,-49.67,40.03,89,100,38.41,GL,1602518379
424,yumen,40.28,97.2,37.94,55,37,5.19,CN,1602518595
425,chokwe,-24.53,32.98,64.92,82,92,3.2,MZ,1602518595
426,hawkesbury,45.6,-74.62,53.01,61,5,10.29,CA,1602518429
427,roald,62.58,6.13,48.2,76,75,13.87,NO,1602518446
428,jabinyanah,35.03,10.91,69.8,46,40,18.34,TN,1602518596
429,lethem,3.38,-59.8,92.97,44,30,7.81,GY,1602518596
430,tra vinh,9.93,106.35,75.72,96,100,5.32,VN,1602518596
431,mont-dore,-22.28,166.58,78.01,99,100,6.29,NC,1602518596
432,sao geraldo do araguaia,-6.4,-48.55,88.63,48,38,8.43,BR,1602518596
433,buala,-8.14,159.59,81.23,82,98,8.57,SB,1602518596
434,fengxian,34.7,116.59,66.0,78,75,2.84,CN,1602518596
435,chegdomyn,51.12,133.02,29.88,94,45,3.2,RU,1602518596
436,edmundston,47.37,-68.33,45.0,52,1,2.82,CA,1602518596
437,gizo,-8.1,156.84,82.98,78,54,10.51,SB,1602518596
438,acapulco,16.86,-99.89,84.2,70,40,4.7,MX,1602518206
439,felipe carrillo puerto,19.58,-88.05,86.99,75,96,3.91,MX,1602518597
440,richards bay,-28.78,32.04,64.22,70,57,8.32,ZA,1602518379
441,faya,18.39,42.45,71.6,68,20,9.17,SA,1602518424
442,malartic,48.13,-78.13,46.0,55,5,13.87,CA,1602518407
443,chapada dos guimaraes,-15.46,-55.75,86.0,55,100,9.17,BR,1602518597
444,lazaro cardenas,17.96,-102.2,84.54,69,92,4.0,MX,1602518380
445,quelimane,-17.88,36.89,77.0,78,75,3.36,MZ,1602518597
446,college place,46.05,-118.39,61.0,66,1,20.8,US,1602518597
447,butembo,0.15,29.28,60.98,100,99,0.43,CD,1602518597
448,arlit,18.74,7.39,101.57,9,0,12.19,NE,1602518597
449,piombino,42.93,10.52,61.0,69,0,19.75,IT,1602518597
450,omsukchan,62.53,155.8,29.52,80,0,5.1,RU,1602518376
451,cam ranh,11.92,109.16,80.6,88,75,4.7,VN,1602518597
452,cap malheureux,-19.98,57.61,73.99,80,42,3.0,MU,1602518414
453,atambua,-9.11,124.89,73.54,79,29,4.65,ID,1602518598
454,lata,40.16,-8.33,73.0,28,0,7.0,PT,1602518598
455,dire,12.28,-10.97,83.34,78,92,2.33,ML,1602518598
456,someshwar,13.5,75.07,75.2,94,90,6.93,IN,1602518598
457,margate,51.38,1.39,55.99,72,100,4.0,GB,1602518368
458,erdenet,49.03,104.08,20.71,87,0,3.83,MN,1602518598
459,lindi,-10.0,39.72,82.4,83,75,16.11,TZ,1602518598
460,kungurtug,50.6,97.52,23.63,92,100,0.78,RU,1602518598
461,atbasar,51.8,68.33,46.99,72,8,6.67,KZ,1602518598
462,beringovskiy,63.05,179.32,33.03,93,100,22.44,RU,1602518372
463,labuhan,-6.88,112.21,82.29,73,90,5.95,ID,1602518598
464,christchurch,-43.53,172.63,51.01,100,44,2.24,NZ,1602518147
465,broome,42.25,-75.83,51.01,75,90,18.34,US,1602518410
466,vestmannaeyjar,63.44,-20.27,46.4,81,20,16.11,IS,1602518396
467,cabedelo,-6.98,-34.83,87.8,52,20,12.75,BR,1602518416
468,algiers,36.75,3.04,66.2,59,40,12.75,DZ,1602518499
469,andenes,69.31,16.12,44.6,70,20,21.92,NO,1602518438
470,matara,5.95,80.54,79.03,84,95,13.51,LK,1602518599
471,urengoy,65.97,78.37,36.16,98,100,6.29,RU,1602518599
472,awjilah,29.11,21.29,83.64,25,1,4.07,LY,1602518599
473,caravelas,-17.71,-39.25,75.33,79,100,8.84,BR,1602518599
474,puerto colombia,10.99,-74.95,87.8,74,40,6.93,CO,1602518538
475,pavlovsk,50.46,40.11,64.27,62,87,8.57,RU,1602518599
476,pechora,65.15,57.22,43.12,88,97,7.02,RU,1602518600
477,ostersund,63.18,14.64,41.0,86,20,5.82,SE,1602518600
478,nanzhang,31.78,111.84,59.88,77,98,4.32,CN,1602518600
479,brandfort,-28.7,26.46,75.2,17,0,10.29,ZA,1602518600
480,goderich,43.75,-81.72,66.0,69,7,17.74,CA,1602518405
481,taksimo,56.34,114.88,23.11,85,100,4.05,RU,1602518552
482,agirish,61.92,63.02,42.89,87,98,2.82,RU,1602518600
483,agira,37.66,14.52,62.6,93,75,13.87,IT,1602518600
484,xiamen,24.48,118.08,78.8,57,75,11.18,CN,1602518600
485,cayenne,4.93,-52.33,91.4,55,21,8.05,GF,1602518426
486,amilly,47.97,2.77,57.99,63,74,1.99,FR,1602518600
487,amapa,1.0,-52.0,97.16,29,28,5.5,BR,1602518600
488,san rafael,-34.62,-68.33,77.52,17,0,11.34,AR,1602518601
489,pskov,57.81,28.35,48.2,87,100,2.51,RU,1602518601
490,keflavik,64.0,-22.56,46.4,87,75,12.75,IS,1602518601
491,sioux lookout,50.1,-91.92,46.4,93,90,8.05,CA,1602518396
492,odweyne,9.41,45.06,78.98,44,41,18.86,SO,1602518601
493,dukat,62.55,155.55,29.41,79,0,6.78,RU,1602518601
494,bridlington,54.08,-0.19,50.0,87,100,9.17,GB,1602518601
495,cabo san lucas,22.89,-109.91,81.0,78,90,2.71,MX,1602518377
496,sri aman,1.24,111.46,77.0,94,98,3.36,MY,1602518601
497,sorong,-0.88,131.25,77.81,87,100,5.28,ID,1602518601
498,wanaka,-44.7,169.15,46.0,81,39,3.58,NZ,1602518377
499,mehamn,71.04,27.85,41.0,86,40,10.29,NO,1602518601
500,vila franca do campo,37.72,-25.43,71.6,53,75,14.99,PT,1602518382
501,maltahohe,-24.83,16.98,85.91,10,0,2.37,NA,1602518601
502,cao bang,22.67,106.25,69.78,80,34,2.82,VN,1602518602
503,grand gaube,-20.01,57.66,73.99,80,38,3.0,MU,1602518380
504,kathu,7.92,98.33,80.01,88,75,11.41,TH,1602518399
505,morant bay,17.88,-76.41,87.8,70,20,9.17,JM,1602518602
506,kristiinankaupunki,62.27,21.38,46.47,82,86,5.91,FI,1602518602
507,tual,-5.67,132.75,81.73,82,83,15.46,ID,1602518387
508,sao miguel do araguaia,-13.28,-50.16,98.98,31,42,2.8,BR,1602518602
509,zabol,32.25,67.25,43.81,48,0,10.74,AF,1602518602
510,ishigaki,24.34,124.16,80.71,81,4,17.9,JP,1602518404
511,buchanan,5.88,-10.05,78.8,94,75,9.17,LR,1602518398
512,nabire,-3.37,135.48,76.73,88,100,2.95,ID,1602518602
513,myaundzha,63.05,147.19,27.39,95,100,3.2,RU,1602518602
514,naliya,23.27,68.83,86.47,49,96,10.87,IN,1602518603
515,ayan,56.45,138.17,41.68,72,0,6.44,RU,1602518603
516,hasaki,35.73,140.83,68.0,100,75,2.24,JP,1602518373
517,los llanos de aridane,28.66,-17.92,78.8,74,20,13.87,ES,1602518377
518,tukrah,32.53,20.58,85.8,30,0,16.82,LY,1602518603
519,pilar,-9.6,-35.96,86.0,58,40,10.29,BR,1602518603
520,salalah,17.02,54.09,80.6,83,0,3.36,OM,1602518376
521,matagami,49.75,-77.63,42.8,60,1,16.11,CA,1602518603
522,bafq,31.61,55.41,55.42,26,0,6.33,IR,1602518603
523,wajir,1.75,40.06,94.23,32,6,7.45,KE,1602518603
524,kushima,31.46,131.23,64.0,88,64,5.01,JP,1602518603
525,kitgum,3.28,32.89,72.64,78,89,4.83,UG,1602518603
526,nador,35.17,-2.93,73.4,64,7,8.05,MA,1602518417
527,anloga,5.79,0.9,80.31,79,11,15.88,GH,1602518375
528,wau,7.7,28.0,79.03,78,32,4.56,SS,1602518397
529,granada,37.25,-3.25,75.0,20,0,5.01,ES,1602518575
530,ahipara,-35.17,173.17,60.15,94,100,8.81,NZ,1602518393
531,gigmoto,13.78,124.39,80.98,84,100,6.06,PH,1602518604
532,shurugwi,-19.67,30.01,58.62,93,93,12.93,ZW,1602518431
533,alto longa,-5.25,-42.21,97.48,24,33,4.76,BR,1602518604
534,dali,25.7,100.18,59.61,83,1,3.44,CN,1602518604
535,tekeli,44.83,78.82,36.81,74,36,5.01,KZ,1602518604
536,darhan,49.49,105.92,25.16,73,0,3.83,MN,1602518604
537,pangnirtung,66.15,-65.71,35.6,80,75,12.75,CA,1602518375
538,broken hill,-31.95,141.43,68.0,34,3,8.84,AU,1602518215
539,gushikawa,26.35,127.87,73.4,83,1,4.7,JP,1602518604
540,esterhazy,50.65,-102.08,45.03,55,0,19.28,CA,1602518562
541,bakel,14.9,-12.46,95.83,36,100,13.02,SN,1602518605
542,mus,39.0,41.75,66.2,37,0,4.7,TR,1602518338
543,kijang,35.24,129.21,59.0,77,28,3.36,KR,1602518298
544,fort saint james,54.43,-124.25,35.04,84,0,3.42,CA,1602518605
545,jumla,29.27,82.18,57.25,68,22,2.89,NP,1602518605
546,lixourion,38.2,20.43,73.4,100,90,25.28,GR,1602518605
547,energetik,51.74,58.79,49.87,46,65,6.31,RU,1602518605
548,clearwater,27.97,-82.8,84.99,65,40,9.17,US,1602518385
549,ponta delgada,37.73,-25.67,71.6,53,75,14.99,PT,1602518605
550,sakakah,29.97,40.21,91.4,9,0,5.82,SA,1602518605
551,liverpool,53.41,-2.98,55.4,82,75,14.99,GB,1602518606
552,akyab,20.15,92.9,82.85,76,0,1.19,MM,1602518398
553,kudahuvadhoo,2.67,72.89,82.2,79,100,18.9,MV,1602518606
554,ruteng,-8.61,120.47,63.19,100,97,1.19,ID,1602518606
555,jinchang,38.5,102.17,47.12,46,0,0.69,CN,1602518384
556,iberia,29.95,-91.75,82.0,100,75,8.05,US,1602518491
557,chapleau,47.84,-83.4,44.6,75,20,12.75,CA,1602518606
558,bowen,-20.02,148.23,69.8,83,75,8.05,AU,1602518606
559,penzance,50.12,-5.54,53.6,93,40,21.92,GB,1602518606
560,mochudi,-24.42,26.15,69.8,56,40,12.75,BW,1602518606
561,calvinia,-31.47,19.78,76.24,15,48,11.39,ZA,1602518606
562,atherton,53.52,-2.49,55.0,72,88,11.99,GB,1602518581
563,caloundra,-26.8,153.13,64.99,84,36,8.01,AU,1602518606
564,bontoc,17.09,120.98,70.09,83,100,3.27,PH,1602518606
565,alibag,18.64,72.88,86.0,79,40,3.02,IN,1602518606
566,salinopolis,-0.61,-47.36,86.59,59,2,12.39,BR,1602518607
567,sao filipe,14.9,-24.5,78.17,77,21,8.16,CV,1602518375
568,spring hill,28.48,-82.53,84.99,61,20,9.17,US,1602518565
569,ampanihy,-24.7,44.75,67.78,74,44,14.54,MG,1602518607
570,wewak,-3.55,143.63,80.38,85,89,8.12,PG,1602518607
571,artyom,40.47,50.33,62.6,63,40,9.17,AZ,1602518607
572,saint-ambroise,48.55,-71.33,41.0,65,20,3.36,CA,1602518607
573,aksum,14.12,38.72,64.0,53,82,2.68,ET,1602518607
574,caborca,30.58,-111.1,83.39,18,0,4.94,MX,1602518607
